run_id,experiment_id,system,variant,M,d,groups,pe_count,dsp_count,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,cycles_per_query_row,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason
spmw_grpzs_4096_cosim_s1,E6,SPMW grouped,grouped_zeroseed,4096,2,2,16,16,cosim,300,ok,True,37,4136,1.0098,,,,,,,,,48.1,142.0,reports/spmw_grpzs_4096_cosim_s1/run.json;validation/spmw_grpzs_4096_cosim_s1,
spmw_grpzs_4096_cosim_s2,E6,SPMW grouped,grouped_zeroseed,4096,2,2,16,16,cosim,300,ok,True,37,4136,1.0098,,,,,,,,,48.1,142.0,reports/spmw_grpzs_4096_cosim_s2/run.json;validation/spmw_grpzs_4096_cosim_s2,
spmw_grpzs_4096_pnr,E6,SPMW grouped,grouped_zeroseed,4096,2,2,16,16,pnr_ooc,300,ok,,,,,1072,2553,16,0,0,1.146,0.0,0,59.5,489.4,reports/spmw_grpzs_4096_pnr/run.json;reports/spmw_grpzs_4096_pnr/util.rpt;reports/spmw_grpzs_4096_pnr/util_synth.rpt;reports/spmw_grpzs_4096_pnr/timing.rpt;reports/spmw_grpzs_4096_pnr/route.rpt;reports/spmw_grpzs_4096_pnr/util_hier.rpt;reports/spmw_grpzs_4096_pnr/vivado_pnr.log;reports/spmw_grpzs_4096_pnr/assemble_pnr.tcl;reports/spmw_grpzs_4096_pnr/clock.xdc,
spmw_grpzs_6_cosim_s0,E6,SPMW grouped,grouped_zeroseed,6,2,2,16,16,cosim,300,ok,True,37,46,7.6667,,,,,,,,,60.3,143.0,reports/spmw_grpzs_6_cosim_s0/run.json;validation/spmw_grpzs_6_cosim_s0,
spmw_grpzs_6_cosim_s1,E6,SPMW grouped,grouped_zeroseed,6,2,2,16,16,cosim,300,ok,True,37,46,7.6667,,,,,,,,,60.3,143.0,reports/spmw_grpzs_6_cosim_s1/run.json;validation/spmw_grpzs_6_cosim_s1,
spmw_grpzs_6_cosim_s2,E6,SPMW grouped,grouped_zeroseed,6,2,2,16,16,cosim,300,ok,True,37,46,7.6667,,,,,,,,,60.3,143.0,reports/spmw_grpzs_6_cosim_s2/run.json;validation/spmw_grpzs_6_cosim_s2,
spmw_grpzs_64_cosim_s0,E6,SPMW grouped,grouped_zeroseed,64,2,2,16,16,cosim,300,ok,True,37,104,1.625,,,,,,,,,48.4,125.9,reports/spmw_grpzs_64_cosim_s0/run.json;validation/spmw_grpzs_64_cosim_s0,
spmw_grpzs_64_cosim_s1,E6,SPMW grouped,grouped_zeroseed,64,2,2,16,16,cosim,300,ok,True,37,104,1.625,,,,,,,,,48.4,125.9,reports/spmw_grpzs_64_cosim_s1/run.json;validation/spmw_grpzs_64_cosim_s1,
spmw_grpzs_64_cosim_s2,E6,SPMW grouped,grouped_zeroseed,64,2,2,16,16,cosim,300,ok,True,37,104,1.625,,,,,,,,,48.4,125.9,reports/spmw_grpzs_64_cosim_s2/run.json;validation/spmw_grpzs_64_cosim_s2,
spmw_conventional_M6_simulator,E6,SPMW conventional,conventional_2pass,6,2,1,16,16,simulator,,ok,True,,,,,,,,,,,,,,validation/spmw_pytest/pytest_full.log,"cycles: null -- allo/backend/simulator.py is a functional dataflow simulator with no cycle model; seeds 0,1,2 validated bit-exact against numpy (test_simulator_matches, test_reference_matches, test_both_designs_agree_bit_for_bit)"
spmw_conventional_M64_simulator,E6,SPMW conventional,conventional_2pass,64,2,1,16,16,simulator,,ok,True,,,,,,,,,,,,,,validation/spmw_pytest/pytest_full.log,"cycles: null -- allo/backend/simulator.py is a functional dataflow simulator with no cycle model; seeds 0,1,2 validated bit-exact against numpy (test_simulator_matches, test_reference_matches, test_both_designs_agree_bit_for_bit)"
